# Auto-generated by tools/gen_minimap_markers.py - DO NOT EDIT
# TYPE  world  x  y  id  icon  "name"   (world = server map = client WorldActive; folder = world+1)
NPC        0  96 129   257 Npc_fix      "Shadow Phantom Soldier"
NPC        0 122 110   226 kind_09      "Trainer"
NPC        0 130 127   479 kind_24      "Doorkeeper Titus"
NPC        0 130 134   258 Npc_shop     "Quests Master"
NPC        0 132 165   257 Npc_fix      "Shadow Phantom Soldier"
NPC        0 132  90   257 Npc_fix      "Shadow Phantom Soldier"
NPC        0 139 138   547 Npc_etc      "Market Union Member Julia"
NPC        0 170 129   257 Npc_fix      "Shadow Phantom Soldier"
PORTAL     0   6  40     2 PortalFull   "Devias (242, 36)"
PORTAL     0 122 232     1 PortalFull   "Dungeon (108, 247)"
PORTAL     0 215 246     3 PortalFull   "Noria (152, 6)"
PORTAL     0 240  14    30 PortalFull   "Valley of Loren (30, 40)"
SPOT       0  20  98    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  20  76    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  26 182    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  28 162    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  40  80    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  44 130    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  44 150    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  48 174    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  48 202    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0  50 102    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  70 184    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0  76 198    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0  78 234    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0  80  82    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0  82  58    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0  86  40    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0  86 138    -1 Npc_bless    "Elite Bull Fighter - Lv. 12 (5)"
SPOT       0  92  96    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0  96 186    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0  98 232    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 104  27    -1 Npc_bless    "Bull Fighter - Lv. 6 (5)"
SPOT       0 110 174    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 112 218    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 118  38    -1 Npc_bless    "Bull Fighter - Lv. 6 (5)"
SPOT       0 132 196    -1 Hotspot      "Death Bone - Lv. 24 (10)"
SPOT       0 138 217    -1 Hotspot      "Skeleton - Lv. 19 (12)"
SPOT       0 144  80    -1 Npc_bless    "Bull Fighter - Lv. 6 (5)"
SPOT       0 144  62    -1 Npc_bless    "Bull Fighter - Lv. 6 (5)"
SPOT       0 146  40    -1 Npc_bless    "Bull Fighter - Lv. 6 (5)"
SPOT       0 156  56    -1 Hotspot      "Destructive ogre soldier, Destructive ogre archer - Lv. 70~74 (20)"
SPOT       0 160  38    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 162  64    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 168 194    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 172 116    -1 Npc_bless    "Spider - Lv. 2 (4)"
SPOT       0 176 156    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 176  70    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 180 102    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 182 208    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 182 200    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 186 126    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 186  30    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 186 234    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 190 216    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 192  82    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 192  60    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 194 140    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 194 164    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 196 108    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 198 116    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 200  94    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 204 126    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 204 176    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 204 236    -1 Npc_bless    "Lich - Lv. 14 (5)"
SPOT       0 206 198    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 208  50    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 210  24    -1 Npc_bless    "Hound - Lv. 9 (5)"
SPOT       0 212 183    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 216 134    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 216 116    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 216  60    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 216 104    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 222 202    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 226 212    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 228 128    -1 Npc_bless    "Spider - Lv. 2 (5)"
SPOT       0 230 198    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 230 160    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 232 106    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 234  52    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 234  94    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
SPOT       0 236 224    -1 Npc_bless    "Budge Dragon - Lv. 4 (5)"
STORAGE    0 146 110   240 Npc_storage  "Safety Guardian"
STORAGE    0 147 145   240 Npc_storage  "Safety Guardian"
PORTAL     1   2  18     1 PortalFull   "Dungeon (4, 84)"
PORTAL     1   2  84     1 PortalFull   "Dungeon (4, 16)"
PORTAL     1   6  34     1 PortalFull   "Dungeon (30, 126)"
PORTAL     1  30 127     1 PortalFull   "Dungeon (6, 32)"
PORTAL     1 108 248     0 PortalFull   "Lorencia (122, 231)"
PORTAL     1 232 128     1 PortalFull   "Dungeon (240, 150)"
PORTAL     1 239 150     1 PortalFull   "Dungeon (232, 126)"
SPOT       1   6   7    -1 Npc_bless    "Poison Bull Fighter - Lv. 46 (5)"
SPOT       1   7  27    -1 Npc_bless    "Poison Bull Fighter - Lv. 46 (5)"
