//=====================================================================
// Edited by Willian Bento
// Programmer Takumi12
// Files CastleSiegeMU
// PET  Glow
//=====================================================================
//Index	Type	Effect  ColorR	ColorG	ColorB
//=====================================================================
	6911		7		70		255		255		255	
	6911		3		70		40		40		40	
	6911		2		70		50		124		171	
	6911		1		2		255		255		255	
	6911		0		70		0		191		255	

 

	
	6856		1		70		94		94		153	
	6856		2		2		255		255		255	
	6856		2		2		255		255		255	
	6856		2		2		255		255		255	
	6856		0		70		94		94		153
end
