//===============================================================================================================
// MasterCodex Season 6 - Mu Online
// Developer: MasterCodex [takumi12]
// Last review: 02.20.2020
//===============================================================================================================
// CustomGloves Config File
//===============================================================================================================
// Agregar archivos en: [Data/Item]
//===============================================================================================================
//GlovesID	  Model			LeftIndex	LeftModel			RightIndex		RightModel        	ColorR	ColorG	ColorB		name
46	    	"BloodangelClo"		400		"BloodangelClo_L"		401	 		"BloodangelClo_R"     255		197		 57        // Blood God Claw
56			"Sword39"			402		"Sword39_L"				403			"Sword39_R"		  	  184       039      010		// Dark God Claw
59			"Sword40"			404		"Sword40_L"				405			"Sword40_R"			  10		10		 10			// Holy God Claw
60			"Sword41"			406		"Sword41_L"				407			"Sword41_R"			  255 		48 		 48		// Heavenly Lord Claw
61			"Sword42"			408		"Sword42_L"				409			"Sword42_R"			  253		255		 119		// Heavenly Lord Claw lv2
64			"Sword43"			410		"Sword43_L"				411			"Sword43_R"			  239		154		 70			// Awakening Claw
80			"Sword44"			412		"Sword44_L"				413			"Sword44_R"			  127		127		 127		// Blue Eye Claw
52			"Sword37"			414		"Sword37_L"				415			"Sword37_R"			  71        163      233		// Pantera Claws
53			"Sword38"			416		"Sword38_L"				417			"Sword38_R"			  229       178	     114		// Devast Claws
81			"PrickleGlove"		420		"PrickleGlove_left"		421			"PrickleGlove_right"		  255		48		 48			// Blood Dragon 400 Claw
83			"Sword45"			418		"Sword45_L"				419			"Sword45_R"			  78 		17 		166		// Silver Heart Claw
100			"Sword102"			422	    "SwordL102"				423			"SwordR102"			  10        10		 10			// Guardian Claw
end
