//====================================================================
//-- Color de la linea "Tier N" del tooltip de item
//-- 0=White 1=Blue 2=Red 3=Yellow 4=Green 5=DarkRed 6=Purple
//-- 7=DarkBlue 8=DarkYellow 9=GreenBlue 10=Gray 11=RedPurple
//-- 12=Violet 13=Orange     (14 NO usar: es color dinamico)
//--
//-- Los tiers que no aparezcan aca quedan en -1 y el cliente los pinta
//-- en gris (10), que es el comportamiento previo a este fichero.
//====================================================================
//Tier	Color
	1	0
	2	0
	3	1
	4	1
	5	3
	6	3
	7	4
	8	4
	9	6
	10	6
//-- T11..T21 sin definir -> gris. Descomentar y elegir color para activarlos.
//	11	10
//	12	10
//	13	10
//	14	10
//	15	10
//	16	10
//	17	10
//	18	10
//	19	10
//	20	10
//	21	10
end
